Source_Database_Code,PatientID,PatientFirstName,PatientMiddleName,PatientLastName,PatientAddress,PatientAddress2,PatientCity,PatientState,PatientZip,PatientDOB,PatientPhone,PatientGender,ResponsiblePartyFirstName,ResponsiblePartyMiddleName,ResponsiblePartyLastName,ResponsiblePartyAddress,ResponsiblePartyAddress2,ResponsiblePartyCity,ResponsiblePartyState,ResponsiblePartyZip,ResponsiblePartyPhone,PatientSSN,PatientSuffix,PatientCellPhone,ResponsiblePartySSN,ResponsiblePartySuffix,ResponsiblePartyCellPhone,ResponsiblePartyDOB,Imagine_Propensity_to_Pay_Grade,Imagine_Propensity_to_Pay_Description,Bad_Address_Indicator,PatientRace,PatientEthnicity,patEmail,tbl_Refresh_Date,PatientPhone_norm,ResponsiblePartyPhone_norm,PatientCellPhone_norm,ResponsiblePartyCellPhone_norm,_phone_institutional_flag,_pk_composite
RADB,1000035,GEORGE,,GONZALEZ,6983 ELM LN,,PLANO,TX,75023,1992-09-28,(210)667-3561,M,GEORGE,,GONZALEZ,3371 CEDAR DR,,SAN ANTONIO,TX,78201,(210)667-3561,,,,,,,1992-09-28,A,Very High,1.0,,,GEORGEGON781@AOL.COM,2026-05-01,2106673561,2106673561,,,False,RADB:1000035
RADA,1000037,JOSE,R,LEWIS,4650 MAIN PL,,FRANKLIN,TN,37064,1992-11-13,(901)767-8167,M,JOSE,R,LEWIS,5461 CEDAR PL,,LEBANON,TN,37087,(901)995-0264,,,,,,,1992-11-13,F,,0.0,,,,2026-05-01,9017678167,9019950264,,,False,RADA:1000037
RADM,1000039,ANTHONY,D,YOUNG,9721 SPRING ST,,PLANO,TX,75023,1946-07-26,(210)916-7774,M,ANTHONY,D,YOUNG,9330 PINE WAY,,DALLAS,TX,75201,(210)916-7774,,,,,,,1953-09-23,B,,0.0,,Not Hispanic,ANTHONYYOU99@AOL.COM,2026-05-01,2109167774,2109167774,,,False,RADM:1000039
RADQ,1000043,SARAH,D,TORRES,2848 MAIN ST,,CARSON CITY,NV,89701,1994-04-22,(702)780-0008,F,SARAH,D,TORRES,5942 LAKE AVE,,LAS VEGAS,NV,89101,(702)911-4111,,,,,,,1994-04-22,,,0.0,,,SARAHTOR319@YAHOO.COM,2026-05-01,7027800008,7029114111,,,False,RADQ:1000043
ESR,1000047,SANDRA,H,LEWIS,4788 RIVER CT,APT 49,ORLANDO,FL,32801,1996-10-15,(813)376-0069,F,SANDRA,H,LEWIS,3533 ELM BLVD,,ORLANDO,FL,32801,(813)376-0069,,,,,,,1996-10-15,D,,0.0,White,,,2026-05-01,8133760069,8133760069,,,False,ESR:1000047
CIRPA,1000049,RONALD,,JACKSON,3286 CEDAR DR,,FORT LAUDERDALE,FL,33301,1996-04-02,(813)626-8617,M,RONALD,,JACKSON,8037 MAIN PL,,MIAMI,FL,33101,(407)996-5661,,,,,,,1996-04-02,A,,0.0,,,RONALDJAC781@YAHOO.COM,2026-05-01,8136268617,4079965661,,,False,CIRPA:1000049
RADI,1000050,RUTH,Z,LEE,6092 AMANA CIR,,COLUMBUS,GA,31901,1971-06-16,(404)912-9106,F,RUTH,Z,LEE,2396 CHURCH ST,,MACON,GA,31201,(912)286-3777,,,,,,,1971-06-16,B,,0.0,,,,2026-05-01,4049129106,9122863777,,,False,RADI:1000050
PMR,1000051,RUTH,,MOORE,823 ELM PL,,NASHVILLE,TN,37201,1943-02-10,(615)641-2721,F,RUTH,,MOORE,3894 SUNSET AVE,,MOUNT JULIET,TN,37122,(423)968-9655,,,,,,,1943-02-10,E,,0.0,Black or African American,,,2026-05-01,6156412721,4239689655,,,False,PMR:1000051
ACRB,1000055,BARBARA,,ANDERSON,8296 LAKE WAY,,CINCINNATI,OH,45201,1945-04-04,(216)505-2523,F,BARBARA,,ANDERSON,7632 HILL BLVD,,COLUMBUS,OH,43201,(216)505-2523,,,,,,,1945-04-04,C,,0.0,White,,BARBARAAND369@GMAIL.COM,2026-05-01,2165052523,2165052523,,,False,ACRB:1000055
RADO,1000059,RUTH,,MILLER,5668 HILL WAY,,MIAMI,FL,33101,2003-09-13,(305)438-7827,F,RUTH,,MILLER,3517 SPRING RD,,JACKSONVILLE,FL,32099,,,,,999-49-4574,,,2003-09-13,,,0.0,White,,RUTHMIL409@AOL.COM,2026-05-01,3054387827,,,,False,RADO:1000059
CIRPA,1000062,ROBERT,,WHITE,7901 SPRING DR,,MIAMI,FL,33101,1945-02-24,(904)985-0797,M,ROBERT,,WHITE,1506 HILL RD,,MIAMI,FL,33101,,999-26-8152,,,,,,1945-02-24,,,0.0,,,,2026-05-01,9049850797,5617429121,,,False,CIRPA:1000062
RADS2,1000064,NANCY,L,SMITH,708 RIVER PL,,AUSTIN,TX,78701,2000-09-18,(972)687-3783,F,NANCY,L,SMITH,6614 CEDAR ST,,FORT WORTH,TX,76101,(210)384-0818,,,,,,,2000-09-18,B,High,,,,,2026-05-01,9726873783,2103840818,,,False,RADS2:1000064
RASFA,1000067,ELIZABETH,,ROBERTS,5124 AMANA RD,,HOUSTON,TX,77001,2004-01-05,(817)562-7774,F,ELIZABETH,,ROBERTS,5659 MAIN RD,,AUSTIN,TX,78701,(817)701-3232,,,,,,,2004-01-05,,,0.0,,,,2026-05-01,8175627774,8177013232,,,False,RASFA:1000067
RADS,1000068,LARRY,Z,WILSON,1974 AMANA ST,,LEBANON,TN,37087,1963-10-18,,M,LARRY,Z,WILSON,8694 SPRING RD,,MOUNT JULIET,TN,37122,,,,,,,,1963-10-18,D,Medium,,American Indian,Not Hispanic,,2026-05-01,,,,,False,RADS:1000068
CIRPA,1000069,ROBERT,E,FLORES,6628 MAPLE RD,APT 208,ORLANDO,FL,32801,2000-05-25,(813)312-0791,M,ROBERT,E,FLORES,9845 MAIN CT,,JACKSONVILLE,FL,32099,(813)312-0791,,,,,,,2000-05-25,,,,,,ROBERTFLO216@HOTMAIL.COM,2026-05-01,8133120791,8133120791,,,False,CIRPA:1000069
ACR,1000070,ROBERT,,LEE,1007 SCHOOL DR,,CINCINNATI,OH,45201,1968-05-26,(419)707-5733,M,ROBERT,,LEE,9702 HILL BLVD,,DAYTON,OH,45401,(419)707-5733,,,,,,,1968-05-26,E,Low,,Hispanic,,ROBERTLEE935@YAHOO.COM,2026-05-01,4197075733,4197075733,,,False,ACR:1000070
RADF,1000071,TIMOTHY,H,HARRIS,9062 PINE DR,,HENDERSON,NV,89002,1944-04-24,(725)576-9442,M,TIMOTHY,H,HARRIS,1162 CEDAR ST,,NORTH LAS VEGAS,NV,89030,(702)307-7131,,,,,,,1944-04-24,,,0.0,White,,,2026-05-01,7255769442,7023077131,,,False,RADF:1000071
RADC,1000074,DEBORAH,,KING,3374 ELM BLVD,,COLUMBUS,OH,43201,1997-04-16,(614)958-6028,F,DEBORAH,,KING,7807 PINE ST,,COLUMBUS,OH,43201,,999-28-1351,,,999-28-1351,,,1997-04-16,B,High,,,,DEBORAHKIN375@GMAIL.COM,2026-05-01,6149586028,,,,False,RADC:1000074
RADS2,1000076,BARBARA,M,ANDERSON,3559 SUNSET RD,APT 378,AUSTIN,TX,78701,1951-04-23,(713)477-6478,F,BARBARA,M,ANDERSON,3563 PARK ST,,PLANO,TX,75023,(713)477-6478,,,,,,,1951-04-23,,,0.0,White,,BARBARAAND824@HOTMAIL.COM,2026-05-01,7134776478,7134776478,,9723505449,False,RADS2:1000076
RADK,1000078,SHARON,F,HERNANDEZ,3467 PARK ST,,COLUMBUS,GA,31901,1977-08-21,(478)280-6724,F,SHARON,F,HERNANDEZ,5781 PARK WAY,,ATLANTA,GA,30301,(478)280-6724,999-16-1648,,,999-16-1648,,,1977-08-21,C,,,White,,,2026-05-01,4782806724,4782806724,,,False,RADK:1000078
RASFA,1000082,KEVIN,Z,THOMAS,8652 OAK LN,APT 265,SAN ANTONIO,TX,78201,1945-12-19,(512)963-5462,M,KEVIN,Z,THOMAS,8540 PINE CT,,SAN ANTONIO,TX,78201,(512)963-5462,999-39-8453,,,999-46-5294,,,1974-09-17,,,0.0,Black or African American,,KEVINTHO121@OUTLOOK.COM,2026-05-01,5129635462,5129635462,,,False,RASFA:1000082
RADQ,1000084,BARBARA,,ADAMS,4722 LAKE PL,,SPARKS,NV,89431,1969-09-12,(775)723-9694,F,BARBARA,,ADAMS,6255 SPRING WAY,,CARSON CITY,NV,89701,(725)439-0427,999-71-5032,,,999-10-6509,,,1969-09-12,B,High,,,,,2026-05-01,7757239694,7254390427,,,False,RADQ:1000084
RADX,1000087,ANTHONY,,WILLIAMS,166 ELM PL,,HOUSTON,TX,77001,1951-05-01,(972)698-6149,M,ANTHONY,,WILLIAMS,1393 ELM CT,,AUSTIN,TX,78701,(972)698-6149,,,,,,,1951-05-01,,,1.0,,,ANTHONYWIL272@HOTMAIL.COM,2026-05-01,9726986149,9726986149,,,False,RADX:1000087
RADR,1000089,WILLIAM,V,MARTINEZ,9954 RIVER LN,,FRANKLIN,TN,37064,1951-05-11,(615)460-3796,M,WILLIAM,V,MARTINEZ,5418 SCHOOL DR,,FRANKLIN,TN,37064,(615)460-3796,,,,,,,1951-05-11,,,0.0,,,,2026-05-01,6154603796,6154603796,,,False,RADR:1000089
RADX,1000092,DONNA,,RODRIGUEZ,8395 SUNSET BLVD,,PLANO,TX,75023,2003-01-22,(214)710-0021,F,DONNA,,RODRIGUEZ,1970 SUNSET AVE,,HOUSTON,TX,77001,(210)279-4338,999-44-8500,,,,,(972)897-5343,2003-01-22,A,Very High,,,,DONNAROD775@HOTMAIL.COM,2026-05-01,2147100021,2102794338,,9728975343,False,RADX:1000092
RADC,1000095,SANDRA,S,CLARK,1020 HILL AVE,,DAYTON,OH,45401,1969-07-13,(937)419-4824,F,SANDRA,S,CLARK,9399 CEDAR LN,,COLUMBUS,OH,43201,(614)729-6819,,,,,,,1969-07-13,,,0.0,White,,,2026-05-01,9374194824,6147296819,,,False,RADC:1000095
RADE,1000097,STEVEN,,BAKER,2883 SUNSET AVE,,ORLANDO,FL,32801,1962-06-09,(904)482-3721,M,STEVEN,,BAKER,2607 MAIN CT,,TAMPA,FL,33601,(904)482-3721,999-20-9362,,,,,,1962-06-09,,,0.0,American Indian,,,2026-05-01,9044823721,9044823721,,,False,RADE:1000097
PXP,1000100,DANIEL,,ROBERTS,2389 SPRING LN,,TAMPA,FL,33601,1966-04-16,(561)290-5668,M,DANIEL,,ROBERTS,7405 CEDAR CT,,FORT LAUDERDALE,FL,33301,(904)796-7726,,,,,,,1966-04-16,B,,0.0,,,DANIELROB215@AOL.COM,2026-05-01,5612905668,9047967726,,,False,PXP:1000100
RADH,1000101,ELIZABETH,H,HERNANDEZ,4691 AMANA WAY,,PLANO,TX,75023,1952-03-14,(817)874-5422,F,ELIZABETH,H,HERNANDEZ,1152 ELM RD,,DALLAS,TX,75201,(817)874-5422,999-65-5310,,,999-65-5310,,,1952-03-14,B,High,0.0,White,Hispanic or Latino,,2026-05-01,8178745422,8178745422,,,False,RADH:1000101
RADX,1000105,DANIEL,,WRIGHT,1812 AMANA BLVD,APT 52,AUSTIN,TX,78701,1963-07-28,(817)555-6239,M,DANIEL,,WRIGHT,6317 CHURCH DR,,SAN ANTONIO,TX,78201,(817)555-6239,,,(512)821-8828,,,,1982-07-12,E,Low,,White,,,2026-05-01,8175556239,8175556239,5128218828,,False,RADX:1000105
RADS2,1000109,MARIA,Z,CAMPBELL,9015 HILL PL,APT 180,SAN ANTONIO,TX,78201,2004-01-18,(210)900-7797,F,MARIA,Z,CAMPBELL,8189 PINE AVE,,AUSTIN,TX,78701,(817)537-7179,,,,,,,1951-11-24,E,,0.0,,,,2026-05-01,2109007797,8175377179,,,False,RADS2:1000109
MRB,1000113,ANTHONY,,JOHNSON,5621 SPRING BLVD,,KNOXVILLE,TN,37902,1972-08-13,(901)741-7164,M,ANTHONY,,JOHNSON,2820 CHURCH LN,,MURFREESBORO,TN,37128,(901)741-7164,999-66-7416,,,999-66-7416,,,1972-08-13,C,Medium-High,0.0,,,ANTHONYJOH978@OUTLOOK.COM,2026-05-01,9017417164,9017417164,,,False,MRB:1000113
SAPA,1000117,ANTHONY,,MOORE,6935 AMANA LN,,SAN ANTONIO,TX,78201,1997-12-25,(210)862-4797,M,ANTHONY,,MOORE,6895 RIVER CIR,,DALLAS,TX,75201,(512)421-0777,999-58-8484,,,999-58-8484,,,1997-12-25,,,0.0,,,,2026-05-01,2108624797,5124210777,,8179495986,False,SAPA:1000117
RADF,1000118,BETTY,S,TORRES,5013 MAIN RD,,LAS VEGAS,NV,89101,1970-01-29,(702)286-3591,F,BETTY,S,TORRES,4009 SPRING AVE,,NORTH LAS VEGAS,NV,89030,(702)286-3591,,,,,,,1970-01-29,,,1.0,,,,2026-05-01,7022863591,7022863591,,,False,RADF:1000118
RADO,1000121,JOSEPH,,FLORES,1810 CEDAR ST,APT 348,ORLANDO,FL,32801,1968-05-20,(904)218-6676,M,JOSEPH,,FLORES,4447 HILL LN,,MIAMI,FL,33101,(904)218-6676,999-83-3989,,,999-83-3989,,,1968-05-20,,,0.0,,,,2026-05-01,9042186676,9042186676,,,False,RADO:1000121
GSIA,1000122,PATRICIA,V,GREEN,8389 MAPLE BLVD,APT 390,SAN ANTONIO,TX,78201,1961-03-18,(972)839-8657,F,PATRICIA,V,GREEN,679 SCHOOL RD,,DALLAS,TX,75201,(817)983-3884,999-31-5891,,,999-24-3385,,,1961-03-18,F,,1.0,,,PATRICIAGRE649@AOL.COM,2026-05-01,9728398657,8179833884,,,False,GSIA:1000122
NRAA,1000125,DAVID,W,THOMPSON,8373 ELM DR,,MURFREESBORO,TN,37128,1976-06-20,(615)370-1768,M,DAVID,W,THOMPSON,7232 LAKE PL,APT 126,MOUNT JULIET,TN,37122,(423)567-7263,999-64-5679,,,999-64-5679,,,1976-06-20,E,Low,1.0,,,,2026-05-01,6153701768,4235677263,,,False,NRAA:1000125
SAPA,1000129,MATTHEW,,FLORES,8228 AMANA WAY,,DALLAS,TX,75201,1977-08-30,(972)964-3091,M,MATTHEW,,FLORES,6023 PINE AVE,,DALLAS,,75201,(972)964-3091,,,,,,,1977-08-30,,,0.0,White,,,2026-05-01,9729643091,9729643091,,,False,SAPA:1000129
RADI2,1000130,LINDA,N,CAMPBELL,2437 SCHOOL BLVD,,TOLEDO,OH,43601,1948-06-27,(937)879-8396,F,LINDA,N,CAMPBELL,6826 AMANA CIR,,AKRON,OH,44301,(330)961-6401,,,,,,,1948-06-27,E,,0.0,,,LINDACAM213@HOTMAIL.COM,2026-05-01,9378798396,3309616401,,,False,RADI2:1000130
ACR,1000133,DONNA,,HARRIS,2273 SPRING PL,,CINCINNATI,OH,45201,1955-02-24,,F,DONNA,,HARRIS,6783 MAIN WAY,,CLEVELAND,OH,44101,(419)623-9019,,,,,,,1973-09-15,,,0.0,,,DONNAHAR863@OUTLOOK.COM,2026-05-01,,4196239019,,,False,ACR:1000133
RASFA,1000136,WILLIAM,,MARTIN,9158 CEDAR WAY,,HOUSTON,TX,77001,1947-07-31,(817)266-1799,M,WILLIAM,,MARTIN,8934 SPRING DR,,PLANO,TX,75023,(817)266-1799,999-93-4389,,,999-93-4389,,,1947-07-31,,,0.0,,,,2026-05-01,8172661799,8172661799,,,False,RASFA:1000136
NRAA,1000139,CYNTHIA,,CARTER,5582 CHURCH CT,,LEBANON,TN,37087,1968-08-29,,F,CYNTHIA,,CARTER,580 CEDAR WAY,,MURFREESBORO,TN,37128,,999-33-2132,,,999-33-2132,,,1968-08-29,,,0.0,White,,CYNTHIACAR739@OUTLOOK.COM,2026-05-01,,,,,False,NRAA:1000139
RADD,1000143,SUSAN,,NGUYEN,4968 PINE ST,,COLUMBUS,GA,31901,1995-01-30,(770)851-5608,F,SUSAN,,NGUYEN,6973 LAKE AVE,,COLUMBUS,GA,31901,(770)851-5608,,,,,,,1995-01-30,,,,White,,SUSANNGU136@YAHOO.COM,2026-05-01,7708515608,7708515608,,,False,RADD:1000143
RADA,1000147,CAROL,,RAMIREZ,2247 OAK AVE,,FRANKLIN,TN,37064,1985-05-20,(931)731-2283,F,CAROL,,RAMIREZ,3724 SCHOOL WAY,,LEBANON,TN,37087,(931)731-2283,,,,,,,1985-05-20,,,0.0,,,CAROLRAM332@YAHOO.COM,2026-05-01,9317312283,9317312283,,,False,RADA:1000147
RADK,1000151,HELEN,V,RIVERA,2857 LAKE WAY,APT 96,SAVANNAH,GA,31401,1976-02-25,(478)336-6644,F,HELEN,V,RIVERA,5056 HILL DR,,COLUMBUS,GA,31901,,999-43-1381,,,999-43-1381,,,1976-02-25,F,Very Low,,White,,HELENRIV344@OUTLOOK.COM,2026-05-01,4783366644,,,,False,RADK:1000151
MRB,1000153,MARIA,C,ANDERSON,6172 ELM BLVD,APT 291,LEBANON,TN,37087,1981-08-04,(615)777-6707,F,MARIA,C,ANDERSON,8220 CHURCH CT,APT 396,LEBANON,TN,37087,(615)777-6707,999-54-7198,,,999-54-7198,,,1951-08-10,,,1.0,,,,2026-05-01,6157776707,6157776707,,,False,MRB:1000153
ESR,1000156,LARRY,,CARTER,2486 MAPLE LN,,TAMPA,FL,33601,1959-12-06,(407)553-6336,M,LARRY,,CARTER,6519 SCHOOL DR,,ST PETE,FL,33701,(407)553-6336,999-33-2228,,,,,,1963-02-08,D,,1.0,Other,,,2026-05-01,4075536336,4075536336,,,False,ESR:1000156
SAPA,1000160,EDWARD,,MOORE,4431 SCHOOL BLVD,,HOUSTON,TX,77001,1953-07-04,(210)459-2990,M,EDWARD,,MOORE,6159 RIVER RD,,AUSTIN,TX,78701,(214)326-8541,999-73-9483,,(817)293-1620,999-73-9483,,,1953-07-04,,,0.0,Hispanic,,,2026-05-01,2104592990,2143268541,8172931620,,False,SAPA:1000160
RADG,1000163,MICHAEL,,BAKER,6154 MAIN ST,APT 499,FRANKLIN,TN,37064,1965-08-01,(615)212-3327,M,MICHAEL,,BAKER,2716 CEDAR PL,,FRANKLIN,TN,37064,(615)212-3327,,,,,,,1973-01-23,,,0.0,,,,2026-05-01,6152123327,6152123327,,,False,RADG:1000163
RADC,1000167,ELIZABETH,K,HALL,941 CHURCH CT,,DAYTON,OH,45401,1997-02-23,(330)977-1229,F,ELIZABETH,K,HALL,7812 ELM CT,,TOLEDO,OH,43601,(330)977-1229,,,,,,,1997-02-23,,,0.0,,,,2026-05-01,3309771229,3309771229,,,False,RADC:1000167
GSIA,1000168,SHIRLEY,,RAMIREZ,7840 SPRING DR,,AUSTIN,TX,78701,1952-04-03,(817)846-0516,F,SHIRLEY,,RAMIREZ,7658 PINE CIR,,HOUSTON,TX,77001,(210)316-0675,999-87-9055,,,999-87-9055,,,1952-04-03,D,Medium,0.0,,,,2026-05-01,8178460516,2103160675,,,False,GSIA:1000168
IAI,1000171,KIMBERLY,R,BROWN,1997 CHURCH BLVD,,PLANO,TX,75023,1997-01-18,(512)398-6501,F,KIMBERLY,R,BROWN,7113 LAKE LN,,FORT WORTH,TX,76101,(512)398-6501,999-19-1382,,,999-77-9808,,,1997-01-18,D,,0.0,Hispanic,,KIMBERLYBRO580@OUTLOOK.COM,2026-05-01,5123986501,5123986501,,,False,IAI:1000171
NRA,1000175,MARY,A,MOORE,4863 ELM WAY,,LEBANON,TN,37087,1948-11-29,(931)866-0955,F,MARY,A,MOORE,2031 OAK LN,,MURFREESBORO,TN,37128,(931)866-0955,999-89-4819,,,999-89-4819,,,1948-11-29,A,Very High,0.0,,,,2026-05-01,9318660955,9318660955,,,False,NRA:1000175
GSIA,1000176,LARRY,,THOMPSON,4294 MAPLE PL,,SAN ANTONIO,TX,78201,1982-02-07,(210)822-8097,M,LARRY,,THOMPSON,8882 RIVER PL,,DALLAS,TX,75201,(210)822-8097,,,,,,,1982-02-07,,,0.0,,,,2026-05-01,2108228097,2108228097,,,False,GSIA:1000176
TRI,1000177,KEVIN,C,GARCIA,4138 RIVER DR,,KNOXVILLE,TN,37902,1965-04-30,(931)532-4561,M,KEVIN,C,GARCIA,4937 SCHOOL RD,APT 229,MURFREESBORO,TN,37128,(931)532-4561,,,,999-84-3761,,,1965-04-30,D,,0.0,,,,2026-05-01,9315324561,9315324561,,,False,TRI:1000177
RADP,1000178,KEVIN,,JOHNSON,2460 MAIN WAY,,ATHENS,GA,30601,1961-05-25,(770)276-1690,M,KEVIN,,JOHNSON,8112 HILL LN,,AUGUSTA,GA,30901,(770)276-1690,999-28-1835,,,999-28-1835,,,1961-05-25,A,Very High,0.0,Black or African American,,,2026-05-01,7702761690,7702761690,,,False,RADP:1000178
SAPA,1000180,RICHARD,B,HALL,3415 PARK DR,,FORT WORTH,TX,76101,1991-01-19,(512)853-8167,M,RICHARD,B,HALL,1579 CEDAR CT,APT 399,DALLAS,TX,75201,(512)853-8167,999-63-7490,,,,,,1981-04-17,,,0.0,Asian,,RICHARDHAL449@GMAIL.COM,2026-05-01,5128538167,5128538167,,,False,SAPA:1000180
RADO,1000184,ROBERT,T,WALKER,8721 MAPLE CIR,APT 157,JACKSONVILLE,FL,32099,1961-10-11,(954)969-0144,M,ROBERT,T,WALKER,4375 ELM LN,,ORLANDO,FL,32801,,,,,999-42-8964,,,1955-07-02,F,Very Low,,Black or African American,,ROBERTWAL113@AOL.COM,2026-05-01,9549690144,,,,False,RADO:1000184
RADZ,1000185,JENNIFER,,RIVERA,6966 CEDAR AVE,APT 330,TAMPA,FL,33601,1979-03-03,(561)490-2149,F,JENNIFER,,RIVERA,8497 PINE PL,,JACKSONVILLE,FL,32099,(561)490-2149,999-58-8587,,,999-58-8587,,,1990-10-10,,,0.0,,,JENNIFERRIV688@AOL.COM,2026-05-01,5614902149,5614902149,,,False,RADZ:1000185
