phonebridgeId:ID(PhoneBridge),source_db,patient_id:long,phone_norm,phone_type,rc_call_count:float,campaign_count:float,campaigns_contacted,primary_campaign,:LABEL
PMR:1000051:4239689655,PMR,1000051,4239689655,responsible_party,0.0,0.0,,,PhoneBridge
ACRB:1000055:2165052523,ACRB,1000055,2165052523,responsible_party,1.0,1.0,IAI,IAI,PhoneBridge
RADO:1000059:3054387827,RADO,1000059,3054387827,patient,0.0,0.0,,,PhoneBridge
CIRPA:1000062:9049850797,CIRPA,1000062,9049850797,patient,0.0,0.0,,,PhoneBridge
CIRPA:1000062:5617429121,CIRPA,1000062,5617429121,responsible_party,0.0,0.0,,,PhoneBridge
RADS2:1000064:9726873783,RADS2,1000064,9726873783,patient,0.0,0.0,,,PhoneBridge
RADS2:1000064:2103840818,RADS2,1000064,2103840818,responsible_party,0.0,0.0,,,PhoneBridge
RASFA:1000067:8175627774,RASFA,1000067,8175627774,patient,0.0,0.0,,,PhoneBridge
RASFA:1000067:8177013232,RASFA,1000067,8177013232,responsible_party,0.0,0.0,,,PhoneBridge
CIRPA:1000069:8133120791,CIRPA,1000069,8133120791,responsible_party,1.0,1.0,TRI,TRI,PhoneBridge
ACR:1000070:4197075733,ACR,1000070,4197075733,responsible_party,0.0,0.0,,,PhoneBridge
RADF:1000071:7255769442,RADF,1000071,7255769442,patient,0.0,0.0,,,PhoneBridge
RADF:1000071:7023077131,RADF,1000071,7023077131,responsible_party,0.0,0.0,,,PhoneBridge
RADC:1000074:6149586028,RADC,1000074,6149586028,patient,0.0,0.0,,,PhoneBridge
RADS2:1000076:7134776478,RADS2,1000076,7134776478,responsible_party,1.0,1.0,RASFA,RASFA,PhoneBridge
RADS2:1000076:9723505449,RADS2,1000076,9723505449,responsible_party_cell,0.0,0.0,,,PhoneBridge
RADK:1000078:4782806724,RADK,1000078,4782806724,responsible_party,0.0,0.0,,,PhoneBridge
RASFA:1000082:5129635462,RASFA,1000082,5129635462,responsible_party,0.0,0.0,,,PhoneBridge
RADQ:1000084:7757239694,RADQ,1000084,7757239694,patient,0.0,0.0,,,PhoneBridge
RADQ:1000084:7254390427,RADQ,1000084,7254390427,responsible_party,0.0,0.0,,,PhoneBridge
RADX:1000087:9726986149,RADX,1000087,9726986149,responsible_party,0.0,0.0,,,PhoneBridge
RADR:1000089:6154603796,RADR,1000089,6154603796,responsible_party,0.0,0.0,,,PhoneBridge
RADX:1000092:2147100021,RADX,1000092,2147100021,patient,0.0,0.0,,,PhoneBridge
RADX:1000092:2102794338,RADX,1000092,2102794338,responsible_party,0.0,0.0,,,PhoneBridge
RADX:1000092:9728975343,RADX,1000092,9728975343,responsible_party_cell,0.0,0.0,,,PhoneBridge
RADC:1000095:9374194824,RADC,1000095,9374194824,patient,0.0,0.0,,,PhoneBridge
RADC:1000095:6147296819,RADC,1000095,6147296819,responsible_party,0.0,0.0,,,PhoneBridge
RADE:1000097:9044823721,RADE,1000097,9044823721,responsible_party,0.0,0.0,,,PhoneBridge
PXP:1000100:5612905668,PXP,1000100,5612905668,patient,0.0,0.0,,,PhoneBridge
PXP:1000100:9047967726,PXP,1000100,9047967726,responsible_party,0.0,0.0,,,PhoneBridge
RADH:1000101:8178745422,RADH,1000101,8178745422,responsible_party,0.0,0.0,,,PhoneBridge
RADX:1000105:5128218828,RADX,1000105,5128218828,cell,0.0,0.0,,,PhoneBridge
RADX:1000105:8175556239,RADX,1000105,8175556239,responsible_party,0.0,0.0,,,PhoneBridge
RADS2:1000109:2109007797,RADS2,1000109,2109007797,patient,0.0,0.0,,,PhoneBridge
RADS2:1000109:8175377179,RADS2,1000109,8175377179,responsible_party,0.0,0.0,,,PhoneBridge
MRB:1000113:9017417164,MRB,1000113,9017417164,responsible_party,0.0,0.0,,,PhoneBridge
SAPA:1000117:2108624797,SAPA,1000117,2108624797,patient,0.0,0.0,,,PhoneBridge
SAPA:1000117:5124210777,SAPA,1000117,5124210777,responsible_party,0.0,0.0,,,PhoneBridge
SAPA:1000117:8179495986,SAPA,1000117,8179495986,responsible_party_cell,0.0,0.0,,,PhoneBridge
RADF:1000118:7022863591,RADF,1000118,7022863591,responsible_party,0.0,0.0,,,PhoneBridge
RADO:1000121:9042186676,RADO,1000121,9042186676,responsible_party,0.0,0.0,,,PhoneBridge
GSIA:1000122:9728398657,GSIA,1000122,9728398657,patient,0.0,0.0,,,PhoneBridge
GSIA:1000122:8179833884,GSIA,1000122,8179833884,responsible_party,0.0,0.0,,,PhoneBridge
NRAA:1000125:6153701768,NRAA,1000125,6153701768,patient,0.0,0.0,,,PhoneBridge
NRAA:1000125:4235677263,NRAA,1000125,4235677263,responsible_party,0.0,0.0,,,PhoneBridge
SAPA:1000129:9729643091,SAPA,1000129,9729643091,responsible_party,0.0,0.0,,,PhoneBridge
RADI2:1000130:9378798396,RADI2,1000130,9378798396,patient,0.0,0.0,,,PhoneBridge
RADI2:1000130:3309616401,RADI2,1000130,3309616401,responsible_party,0.0,0.0,,,PhoneBridge
ACR:1000133:4196239019,ACR,1000133,4196239019,responsible_party,0.0,0.0,,,PhoneBridge
RASFA:1000136:8172661799,RASFA,1000136,8172661799,responsible_party,0.0,0.0,,,PhoneBridge
RADD:1000143:7708515608,RADD,1000143,7708515608,responsible_party,0.0,0.0,,,PhoneBridge
RADA:1000147:9317312283,RADA,1000147,9317312283,responsible_party,0.0,0.0,,,PhoneBridge
RADK:1000151:4783366644,RADK,1000151,4783366644,patient,0.0,0.0,,,PhoneBridge
MRB:1000153:6157776707,MRB,1000153,6157776707,responsible_party,0.0,0.0,,,PhoneBridge
ESR:1000156:4075536336,ESR,1000156,4075536336,responsible_party,0.0,0.0,,,PhoneBridge
SAPA:1000160:2104592990,SAPA,1000160,2104592990,patient,0.0,0.0,,,PhoneBridge
SAPA:1000160:8172931620,SAPA,1000160,8172931620,cell,0.0,0.0,,,PhoneBridge
SAPA:1000160:2143268541,SAPA,1000160,2143268541,responsible_party,0.0,0.0,,,PhoneBridge
RADG:1000163:6152123327,RADG,1000163,6152123327,responsible_party,0.0,0.0,,,PhoneBridge
RADC:1000167:3309771229,RADC,1000167,3309771229,responsible_party,0.0,0.0,,,PhoneBridge
GSIA:1000168:8178460516,GSIA,1000168,8178460516,patient,1.0,1.0,MRB,MRB,PhoneBridge
GSIA:1000168:2103160675,GSIA,1000168,2103160675,responsible_party,0.0,0.0,,,PhoneBridge
IAI:1000171:5123986501,IAI,1000171,5123986501,responsible_party,0.0,0.0,,,PhoneBridge
NRA:1000175:9318660955,NRA,1000175,9318660955,responsible_party,0.0,0.0,,,PhoneBridge
GSIA:1000176:2108228097,GSIA,1000176,2108228097,responsible_party,0.0,0.0,,,PhoneBridge
TRI:1000177:9315324561,TRI,1000177,9315324561,responsible_party,0.0,0.0,,,PhoneBridge
RADP:1000178:7702761690,RADP,1000178,7702761690,responsible_party,0.0,0.0,,,PhoneBridge
SAPA:1000180:5128538167,SAPA,1000180,5128538167,responsible_party,0.0,0.0,,,PhoneBridge
RADO:1000184:9549690144,RADO,1000184,9549690144,patient,0.0,0.0,,,PhoneBridge
RADZ:1000185:5614902149,RADZ,1000185,5614902149,responsible_party,0.0,0.0,,,PhoneBridge
RADT:1000189:2169658184,RADT,1000189,2169658184,patient,0.0,0.0,,,PhoneBridge
RADT:1000189:6143757460,RADT,1000189,6143757460,responsible_party,0.0,0.0,,,PhoneBridge
ACR:1000190:4197400960,ACR,1000190,4197400960,patient,0.0,0.0,,,PhoneBridge
ACR:1000190:6146994611,ACR,1000190,6146994611,responsible_party,0.0,0.0,,,PhoneBridge
RADQ:1000194:7758978214,RADQ,1000194,7758978214,responsible_party,0.0,0.0,,,PhoneBridge
RADS:1000197:9018015998,RADS,1000197,9018015998,patient,0.0,0.0,,,PhoneBridge
RADS:1000197:9014195427,RADS,1000197,9014195427,responsible_party,0.0,0.0,,,PhoneBridge
SMED:1000200:2108459987,SMED,1000200,2108459987,responsible_party,0.0,0.0,,,PhoneBridge
CIRPA:1000202:8139265755,CIRPA,1000202,8139265755,responsible_party,1.0,1.0,ACR,ACR,PhoneBridge
RADL:1000203:9016618825,RADL,1000203,9016618825,patient,0.0,0.0,,,PhoneBridge
RADL:1000203:4232031319,RADL,1000203,4232031319,responsible_party,0.0,0.0,,,PhoneBridge
WRAD:1000207:7256226981,WRAD,1000207,7256226981,responsible_party,0.0,0.0,,,PhoneBridge
RADR:1000209:6154868986,RADR,1000209,6154868986,patient,0.0,0.0,,,PhoneBridge
RADR:1000209:6158369532,RADR,1000209,6158369532,responsible_party,0.0,0.0,,,PhoneBridge
RADM:1000212:5126129689,RADM,1000212,5126129689,patient,0.0,0.0,,,PhoneBridge
RADM:1000212:2144666453,RADM,1000212,2144666453,responsible_party,0.0,0.0,,,PhoneBridge
RADQ:1000215:7024477080,RADQ,1000215,7024477080,responsible_party,1.0,1.0,SAPA,SAPA,PhoneBridge
RADD:1000219:9124655216,RADD,1000219,9124655216,responsible_party,0.0,0.0,,,PhoneBridge
RADE:1000223:5612414494,RADE,1000223,5612414494,responsible_party,0.0,0.0,,,PhoneBridge
RADB:1000225:5125007598,RADB,1000225,5125007598,patient,0.0,0.0,,,PhoneBridge
RADF:1000226:7025444209,RADF,1000226,7025444209,responsible_party,0.0,0.0,,,PhoneBridge
RADF:1000227:7258481580,RADF,1000227,7258481580,patient,0.0,0.0,,,PhoneBridge
RADF:1000227:7257197439,RADF,1000227,7257197439,responsible_party,0.0,0.0,,,PhoneBridge
RADU:1000228:4072324992,RADU,1000228,4072324992,patient,0.0,0.0,,,PhoneBridge
RADB:1000232:5126071708,RADB,1000232,5126071708,responsible_party,0.0,0.0,,,PhoneBridge
SMED:1000235:9729087795,SMED,1000235,9729087795,patient,0.0,0.0,,,PhoneBridge
SMED:1000235:9729637209,SMED,1000235,9729637209,responsible_party,0.0,0.0,,,PhoneBridge
RADD:1000238:6789614922,RADD,1000238,6789614922,patient,0.0,0.0,,,PhoneBridge
RADD:1000238:4783224863,RADD,1000238,4783224863,responsible_party,0.0,0.0,,,PhoneBridge
RADJ:1000240:3059105663,RADJ,1000240,3059105663,patient,0.0,0.0,,,PhoneBridge
RADJ:1000240:8132996653,RADJ,1000240,8132996653,responsible_party,0.0,0.0,,,PhoneBridge
RADH:1000244:5129514206,RADH,1000244,5129514206,responsible_party,0.0,0.0,,,PhoneBridge
RADR:1000248:6156399607,RADR,1000248,6156399607,responsible_party,0.0,0.0,,,PhoneBridge
RADZ:1000251:3053404580,RADZ,1000251,3053404580,responsible_party,0.0,0.0,,,PhoneBridge
RADA:1000254:6156244796,RADA,1000254,6156244796,patient,1.0,1.0,NRA,NRA,PhoneBridge
RASFA:1000258:2102934237,RASFA,1000258,2102934237,responsible_party,0.0,0.0,,,PhoneBridge
PMR:1000259:6153318469,PMR,1000259,6153318469,cell,0.0,0.0,,,PhoneBridge
PMR:1000259:9316823398,PMR,1000259,9316823398,responsible_party,0.0,0.0,,,PhoneBridge
RADZ:1000263:8135060959,RADZ,1000263,8135060959,patient,0.0,0.0,,,PhoneBridge
RADZ:1000263:5619896935,RADZ,1000263,5619896935,responsible_party,0.0,0.0,,,PhoneBridge
RADE:1000266:9049826730,RADE,1000266,9049826730,patient,0.0,0.0,,,PhoneBridge
RADE:1000266:3052606861,RADE,1000266,3052606861,cell,0.0,0.0,,,PhoneBridge
RADE:1000266:8133004622,RADE,1000266,8133004622,responsible_party,0.0,0.0,,,PhoneBridge
WRAD:1000270:7759714469,WRAD,1000270,7759714469,patient,0.0,0.0,,,PhoneBridge
WRAD:1000270:7256741958,WRAD,1000270,7256741958,responsible_party,0.0,0.0,,,PhoneBridge
CRC:1000273:4197692024,CRC,1000273,4197692024,patient,1.0,1.0,RASFA,RASFA,PhoneBridge
CRC:1000273:2166174108,CRC,1000273,2166174108,responsible_party,0.0,0.0,,,PhoneBridge
PXP:1000274:5619213447,PXP,1000274,5619213447,responsible_party,0.0,0.0,,,PhoneBridge
NRAA:1000277:9017655032,NRAA,1000277,9017655032,patient,0.0,0.0,,,PhoneBridge
NRAA:1000277:9314826375,NRAA,1000277,9314826375,responsible_party,0.0,0.0,,,PhoneBridge
PXP:1000281:9043714399,PXP,1000281,9043714399,responsible_party,0.0,0.0,,,PhoneBridge
RADU:1000284:4076894950,RADU,1000284,4076894950,responsible_party,0.0,0.0,,,PhoneBridge
RADU:1000288:8139755421,RADU,1000288,8139755421,responsible_party,0.0,0.0,,,PhoneBridge
ACRB:1000290:9376042855,ACRB,1000290,9376042855,patient,0.0,0.0,,,PhoneBridge
ACRB:1000290:9373794558,ACRB,1000290,9373794558,responsible_party,0.0,0.0,,,PhoneBridge
RADN:1000292:2162890658,RADN,1000292,2162890658,responsible_party,0.0,0.0,,,PhoneBridge
RADM:1000294:2105713999,RADM,1000294,2105713999,responsible_party,0.0,0.0,,,PhoneBridge
RADG:1000298:6159349708,RADG,1000298,6159349708,responsible_party,0.0,0.0,,,PhoneBridge
RADX:1000301:8175118132,RADX,1000301,8175118132,responsible_party,0.0,0.0,,,PhoneBridge
RADQ:1000306:7755972858,RADQ,1000306,7755972858,patient,0.0,0.0,,,PhoneBridge
RADQ:1000306:7254882149,RADQ,1000306,7254882149,responsible_party,0.0,0.0,,,PhoneBridge
GSIA:1000310:8177011917,GSIA,1000310,8177011917,patient,0.0,0.0,,,PhoneBridge
GSIA:1000310:7134328949,GSIA,1000310,7134328949,responsible_party,0.0,0.0,,,PhoneBridge
TRI:1000314:9314143229,TRI,1000314,9314143229,responsible_party,0.0,0.0,,,PhoneBridge
RADX:1000316:7136720024,RADX,1000316,7136720024,patient,0.0,0.0,,,PhoneBridge
RADX:1000316:5128765805,RADX,1000316,5128765805,responsible_party,0.0,0.0,,,PhoneBridge
RADA:1000317:9317314398,RADA,1000317,9317314398,responsible_party,0.0,0.0,,,PhoneBridge
RADF:1000318:7257916280,RADF,1000318,7257916280,patient,0.0,0.0,,,PhoneBridge
RADF:1000318:7027734879,RADF,1000318,7027734879,responsible_party,0.0,0.0,,,PhoneBridge
RADP:1000322:7069861468,RADP,1000322,7069861468,patient,0.0,0.0,,,PhoneBridge
RADP:1000322:6789045874,RADP,1000322,6789045874,responsible_party,0.0,0.0,,,PhoneBridge
RADY:1000326:4199745004,RADY,1000326,4199745004,patient,0.0,0.0,,,PhoneBridge
RADY:1000326:3309905333,RADY,1000326,3309905333,responsible_party,0.0,0.0,,,PhoneBridge
RADX:1000327:9728995535,RADX,1000327,9728995535,responsible_party,0.0,0.0,,,PhoneBridge
RADF:1000332:7259592076,RADF,1000332,7259592076,patient,0.0,0.0,,,PhoneBridge
RADF:1000332:7025241412,RADF,1000332,7025241412,responsible_party,0.0,0.0,,,PhoneBridge
GSIA:1000335:2146946303,GSIA,1000335,2146946303,responsible_party,0.0,0.0,,,PhoneBridge
SAPA:1000336:2145188957,SAPA,1000336,2145188957,responsible_party,0.0,0.0,,,PhoneBridge
RADJ:1000339:4077040887,RADJ,1000339,4077040887,responsible_party,0.0,0.0,,,PhoneBridge
IAI:1000341:8176939512,IAI,1000341,8176939512,patient,1.0,1.0,NRA,NRA,PhoneBridge
IAI:1000341:8172117455,IAI,1000341,8172117455,responsible_party,0.0,0.0,,,PhoneBridge
ACR:1000342:4193690532,ACR,1000342,4193690532,responsible_party,0.0,0.0,,,PhoneBridge
RADJ:1000344:9046625117,RADJ,1000344,9046625117,responsible_party,0.0,0.0,,,PhoneBridge
RADB:1000346:2142580885,RADB,1000346,2142580885,responsible_party,0.0,0.0,,,PhoneBridge
RADY:1000348:9373170019,RADY,1000348,9373170019,patient,0.0,0.0,,,PhoneBridge
RADY:1000348:4196294997,RADY,1000348,4196294997,responsible_party,0.0,0.0,,,PhoneBridge
RADF:1000349:7256706513,RADF,1000349,7256706513,responsible_party,0.0,0.0,,,PhoneBridge
RADF:1000350:7256842032,RADF,1000350,7256842032,patient,0.0,0.0,,,PhoneBridge
RADF:1000350:7253956356,RADF,1000350,7253956356,responsible_party,0.0,0.0,,,PhoneBridge
RADJ:1000353:3053115614,RADJ,1000353,3053115614,responsible_party,0.0,0.0,,,PhoneBridge
RADK:1000354:6788196344,RADK,1000354,6788196344,responsible_party,0.0,0.0,,,PhoneBridge
RADB:1000355:5125132670,RADB,1000355,5125132670,responsible_party,0.0,0.0,,,PhoneBridge
GRH:1000359:7065389842,GRH,1000359,7065389842,responsible_party,0.0,0.0,,,PhoneBridge
RADR:1000361:4239013126,RADR,1000361,4239013126,responsible_party,0.0,0.0,,,PhoneBridge
RADB:1000362:9729850559,RADB,1000362,9729850559,patient,1.0,1.0,ACR,ACR,PhoneBridge
RADB:1000362:2107731620,RADB,1000362,2107731620,responsible_party,0.0,0.0,,,PhoneBridge
MRB:1000365:8658798093,MRB,1000365,8658798093,responsible_party,0.0,0.0,,,PhoneBridge
RADX:1000366:9725152937,RADX,1000366,9725152937,patient,0.0,0.0,,,PhoneBridge
RADX:1000366:9724736401,RADX,1000366,9724736401,responsible_party,0.0,0.0,,,PhoneBridge
GRH:1000367:4785714611,GRH,1000367,4785714611,patient,0.0,0.0,,,PhoneBridge
GRH:1000367:4045666583,GRH,1000367,4045666583,responsible_party,0.0,0.0,,,PhoneBridge
RASFA:1000369:9722537442,RASFA,1000369,9722537442,responsible_party,0.0,0.0,,,PhoneBridge
RADR:1000372:9312238580,RADR,1000372,9312238580,responsible_party,1.0,1.0,GSIA,GSIA,PhoneBridge
RADJ:1000373:9042933845,RADJ,1000373,9042933845,responsible_party,0.0,0.0,,,PhoneBridge
RADI2:1000375:4192418869,RADI2,1000375,4192418869,responsible_party,1.0,1.0,RASFA,RASFA,PhoneBridge
RADY:1000379:9375499304,RADY,1000379,9375499304,responsible_party,0.0,0.0,,,PhoneBridge
RADX:1000380:2103639061,RADX,1000380,2103639061,patient,0.0,0.0,,,PhoneBridge
RADX:1000380:2147362313,RADX,1000380,2147362313,responsible_party,0.0,0.0,,,PhoneBridge
RADS:1000382:8653642857,RADS,1000382,8653642857,responsible_party,0.0,0.0,,,PhoneBridge
GSIA:1000386:7134809017,GSIA,1000386,7134809017,responsible_party,0.0,0.0,,,PhoneBridge
RADH:1000388:2106667354,RADH,1000388,2106667354,responsible_party,0.0,0.0,,,PhoneBridge
RADS:1000391:4237210556,RADS,1000391,4237210556,responsible_party,1.0,1.0,NRAA,NRAA,PhoneBridge
RADR:1000393:9314989197,RADR,1000393,9314989197,responsible_party,0.0,0.0,,,PhoneBridge
RADB:1000397:7132486005,RADB,1000397,7132486005,responsible_party,0.0,0.0,,,PhoneBridge
RADK:1000399:4788370619,RADK,1000399,4788370619,patient,0.0,0.0,,,PhoneBridge
RADK:1000399:4786503185,RADK,1000399,4786503185,responsible_party,0.0,0.0,,,PhoneBridge
RADA:1000402:9013073788,RADA,1000402,9013073788,patient,0.0,0.0,,,PhoneBridge
RADD:1000405:9127287376,RADD,1000405,9127287376,patient,0.0,0.0,,,PhoneBridge
RADD:1000405:7708440289,RADD,1000405,7708440289,responsible_party,0.0,0.0,,,PhoneBridge
RASFA:1000406:9724306766,RASFA,1000406,9724306766,patient,0.0,0.0,,,PhoneBridge
RASFA:1000406:8178227552,RASFA,1000406,8178227552,responsible_party,0.0,0.0,,,PhoneBridge
RADM:1000408:9722077954,RADM,1000408,9722077954,patient,0.0,0.0,,,PhoneBridge
RADM:1000408:8179327781,RADM,1000408,8179327781,responsible_party,0.0,0.0,,,PhoneBridge
ESR:1000409:3052380762,ESR,1000409,3052380762,responsible_party,0.0,0.0,,,PhoneBridge
RADA:1000411:9012391325,RADA,1000411,9012391325,patient,0.0,0.0,,,PhoneBridge
RADA:1000411:9318665962,RADA,1000411,9318665962,responsible_party,0.0,0.0,,,PhoneBridge
RADF:1000412:7258502724,RADF,1000412,7258502724,responsible_party,0.0,0.0,,,PhoneBridge
RADE:1000415:8139299745,RADE,1000415,8139299745,patient,1.0,1.0,RASFA,RASFA,PhoneBridge
RADE:1000415:9545788145,RADE,1000415,9545788145,responsible_party,0.0,0.0,,,PhoneBridge
RADZ:1000416:3059532276,RADZ,1000416,3059532276,patient,0.0,0.0,,,PhoneBridge
RADZ:1000416:8133210215,RADZ,1000416,8133210215,responsible_party,0.0,0.0,,,PhoneBridge
TRI:1000417:9012917223,TRI,1000417,9012917223,responsible_party,0.0,0.0,,,PhoneBridge
RADT:1000420:6146798678,RADT,1000420,6146798678,patient,0.0,0.0,,,PhoneBridge
RADT:1000420:9372951279,RADT,1000420,9372951279,responsible_party,0.0,0.0,,,PhoneBridge
ACRB:1000421:6143664961,ACRB,1000421,6143664961,responsible_party,0.0,0.0,,,PhoneBridge
SAPA:1000422:5127125356,SAPA,1000422,5127125356,responsible_party,0.0,0.0,,,PhoneBridge
MRB:1000424:9315383388,MRB,1000424,9315383388,patient,0.0,0.0,,,PhoneBridge
MRB:1000424:4232000870,MRB,1000424,4232000870,responsible_party,0.0,0.0,,,PhoneBridge
SAPA:1000426:5124223140,SAPA,1000426,5124223140,patient,0.0,0.0,,,PhoneBridge
SAPA:1000426:2148699595,SAPA,1000426,2148699595,responsible_party,0.0,0.0,,,PhoneBridge
MRB:1000428:9314245574,MRB,1000428,9314245574,patient,0.0,0.0,,,PhoneBridge
MRB:1000428:8658724701,MRB,1000428,8658724701,responsible_party,0.0,0.0,,,PhoneBridge
RADQ:1000432:7028770165,RADQ,1000432,7028770165,patient,0.0,0.0,,,PhoneBridge
RADQ:1000432:7754128660,RADQ,1000432,7754128660,responsible_party,0.0,0.0,,,PhoneBridge
RADU:1000433:9547750480,RADU,1000433,9547750480,patient,0.0,0.0,,,PhoneBridge
RADU:1000433:9546412652,RADU,1000433,9546412652,responsible_party,0.0,0.0,,,PhoneBridge
WRAD:1000437:7024049418,WRAD,1000437,7024049418,responsible_party,1.0,1.0,ESR,ESR,PhoneBridge
CIRPA:1000440:8135814931,CIRPA,1000440,8135814931,responsible_party,0.0,0.0,,,PhoneBridge
RADN:1000443:2169708826,RADN,1000443,2169708826,patient,0.0,0.0,,,PhoneBridge
NRA:1000446:6153960905,NRA,1000446,6153960905,patient,0.0,0.0,,,PhoneBridge
NRA:1000446:9016831965,NRA,1000446,9016831965,responsible_party,0.0,0.0,,,PhoneBridge
RADI:1000449:7063429221,RADI,1000449,7063429221,patient,0.0,0.0,,,PhoneBridge
RADI:1000449:7702997728,RADI,1000449,7702997728,responsible_party,0.0,0.0,,,PhoneBridge
RADO:1000453:3054031688,RADO,1000453,3054031688,patient,0.0,0.0,,,PhoneBridge
RADO:1000453:8132435135,RADO,1000453,8132435135,responsible_party,0.0,0.0,,,PhoneBridge
RASFA:1000457:8176377472,RASFA,1000457,8176377472,responsible_party,0.0,0.0,,,PhoneBridge
RADL:1000458:9316978308,RADL,1000458,9316978308,responsible_party,0.0,0.0,,,PhoneBridge
RADX:1000461:2146756666,RADX,1000461,2146756666,patient,0.0,0.0,,,PhoneBridge
RADX:1000461:9729117950,RADX,1000461,9729117950,cell,0.0,0.0,,,PhoneBridge
RADX:1000461:8179887521,RADX,1000461,8179887521,responsible_party,0.0,0.0,,,PhoneBridge
TRI:1000464:9019193685,TRI,1000464,9019193685,responsible_party,0.0,0.0,,,PhoneBridge
GRH:1000465:4782028375,GRH,1000465,4782028375,responsible_party,0.0,0.0,,,PhoneBridge
RADH:1000468:9723061809,RADH,1000468,9723061809,patient,0.0,0.0,,,PhoneBridge
RADH:1000468:7137625480,RADH,1000468,7137625480,responsible_party,0.0,0.0,,,PhoneBridge
CIRPA:1000469:3053751990,CIRPA,1000469,3053751990,patient,0.0,0.0,,,PhoneBridge
CIRPA:1000469:4076763821,CIRPA,1000469,4076763821,responsible_party,0.0,0.0,,,PhoneBridge
NRA:1000471:6154894187,NRA,1000471,6154894187,patient,0.0,0.0,,,PhoneBridge
CIRPA:1000474:9042992300,CIRPA,1000474,9042992300,responsible_party,0.0,0.0,,,PhoneBridge
RADI:1000478:4786540173,RADI,1000478,4786540173,patient,0.0,0.0,,,PhoneBridge
RADI:1000478:7066088140,RADI,1000478,7066088140,responsible_party,0.0,0.0,,,PhoneBridge
NRAA:1000480:9016994303,NRAA,1000480,9016994303,responsible_party,0.0,0.0,,,PhoneBridge
RADR:1000482:4236941161,RADR,1000482,4236941161,responsible_party,0.0,0.0,,,PhoneBridge
RADA:1000483:9313770721,RADA,1000483,9313770721,patient,0.0,0.0,,,PhoneBridge
RADA:1000483:9018060430,RADA,1000483,9018060430,responsible_party,0.0,0.0,,,PhoneBridge
RADN:1000485:3306030309,RADN,1000485,3306030309,responsible_party,0.0,0.0,,,PhoneBridge
RADP:1000487:4043541243,RADP,1000487,4043541243,patient,1.0,1.0,SMED,SMED,PhoneBridge
RADU:1000491:3058369842,RADU,1000491,3058369842,patient,0.0,0.0,,,PhoneBridge
