rccallId:ID(RCCall),campaign_name,skill_name,agent_name,team_name,start_date,pre_queue:int,in_queue:int,agent_time:int,acw_time:int,total_time:int,abandon_time:int,abandon,sla:int,disp_name,hold_time:int,ani_norm,rc_attributable:boolean,tags,:LABEL
593000000039,SMED,Outbound Collection,Michael Rivera,Team Alpha,2025-09-04,197,4,701,103,1005,0,N,1,Left Message,19,7064206935,True,Repeat Caller,RCCall
593000000040,SMED,NRA English,Jerome Viloria,Collections North,2026-02-14,254,15,1132,102,1503,0,N,1,Payment Collected,25,,False,Escalation,RCCall
593000000041,NRA,NRA English,Robert Garcia,Team Gamma,2025-05-04,203,11,624,8,846,0,N,1,Patient Refused,55,7752016764,True,,RCCall
593000000042,TRI,Outbound Collection,Michael Rivera,RCM Offshore,2026-02-12,178,29,656,3,866,0,N,0,Callback Scheduled,55,8133120791,True,Escalation,RCCall
593000000043,MRB,Outbound Collection,Amanda Johnson,Team Gamma,2026-01-11,45,25,1160,36,1266,1,Y,0,Resolved,59,8178460516,True,Repeat Caller,RCCall
593000000044,IAI,NRA English,David Chen,Team Gamma,2025-05-23,117,11,581,94,803,0,N,1,Wrong Number,58,9018925053,True,Escalation,RCCall
593000000045,RASFA,Outbound Collection,Robert Garcia,Team Beta,2026-01-24,1,13,1056,29,1099,0,N,1,Left Message,16,9313008131,True,First Time Call,RCCall
593000000046,ACR,IAI English,Jennifer Lee,Collections North,2026-02-19,29,28,938,40,1035,0,N,0,Left Message,28,9319973370,True,First Time Call,RCCall
593000000047,IAI,CRC English,Amanda Johnson,Team Alpha,2026-02-07,5,3,1042,20,1070,0,N,1,No Answer,9,4238700541,True,Repeat Caller,RCCall
593000000048,SAPA,SAPA English,Nicole Brown,Collections North,2026-03-17,245,12,1120,76,1453,0,N,1,Promise to Pay,29,8133755637,True,,RCCall
593000000049,NRA,CRC English,Nicole Brown,PXP - Sagility,2025-07-12,184,24,616,45,869,0,N,0,Disconnected,33,5133546163,True,Escalation,RCCall
593000000050,MRB,SAPA English,Sarah Thompson,Collections North,2025-07-01,77,24,538,57,696,0,N,0,Callback Scheduled,44,6146432729,True,,RCCall
593000000051,TRI,Outbound Collection,Robert Garcia,Collections North,2025-08-11,30,28,801,109,968,0,N,0,Payment Collected,45,6152760391,True,,RCCall
593000000052,TRI,SAPA English,Jerome Viloria,RCM Offshore,2025-09-17,52,13,559,108,732,0,N,1,Resolved,47,2164154397,True,Repeat Caller,RCCall
593000000053,ACRB,CRC English,Nicole Brown,Collections South,2025-06-12,224,25,518,39,806,0,N,0,No Answer,7,9013716654,True,First Time Call,RCCall
593000000054,PMR,CRC English,Christopher Martinez,Team Beta,2025-12-05,106,7,1116,42,1271,0,N,1,No Answer,22,2145670189,True,,RCCall
593000000055,RASFA,CRC English,Robert Garcia,Collections South,2025-12-04,253,18,411,18,700,0,N,1,Left Message,54,4079735279,True,Repeat Caller,RCCall
593000000056,IAI,PMR English,Robert Garcia,Collections South,2026-04-30,39,4,526,115,684,1,Y,1,Promise to Pay,49,2145318044,True,First Time Call,RCCall
593000000057,RASFA,Outbound Collection,Sarah Thompson,Collections South,2025-06-22,41,19,365,84,509,0,N,1,Left Message,32,8139299745,True,,RCCall
593000000058,NRA,IAI English,Sarah Thompson,PXP - Sagility,2025-09-07,144,19,344,24,531,37,Y,1,In Queue,18,7258828814,True,,RCCall
593000000059,PMR,NRA English,Amanda Johnson,Collections South,2025-07-03,76,22,1050,81,1229,0,N,0,Promise to Pay,13,6152150980,True,Repeat Caller,RCCall
593000000060,SMED,Inbound Main,Robert Garcia,RCM Offshore,2025-11-13,48,18,461,68,595,0,N,1,Payment Collected,49,8135420374,True,Repeat Caller,RCCall
593000000061,GSIA,CRC English,Nicole Brown,Collections North,2025-10-27,298,13,75,80,466,0,N,1,Wrong Number,39,6159565048,True,Repeat Caller,RCCall
593000000062,CRC,NRA English,Michael Rivera,Collections North,2025-07-18,29,5,654,27,715,0,N,1,Callback Scheduled,23,8658060641,True,Repeat Caller,RCCall
593000000063,ACR,CRC English,Amanda Johnson,RCM Offshore,2026-04-21,167,23,965,97,1252,0,N,0,Callback Scheduled,27,9127970582,True,First Time Call,RCCall
593000000064,IAI,Espanol,Sarah Thompson,RCM Offshore,2025-10-26,102,11,182,94,389,0,N,1,Disconnected,45,2165052523,True,First Time Call,RCCall
593000000065,MRB,Outbound Collection,Ashley Wilson,Team Beta,2025-06-29,46,22,922,73,1063,0,N,0,Wrong Number,49,6158511072,True,Repeat Caller,RCCall
593000000066,SMED,SAPA English,Christopher Martinez,Collections South,2025-05-09,190,12,300,37,539,0,N,1,Resolved,1,9375945544,True,Repeat Caller,RCCall
593000000067,PMR,PMR English,David Chen,Team Alpha,2025-06-10,240,1,1093,40,1374,0,N,1,Payment Collected,28,4192112880,True,Escalation,RCCall
593000000068,SMED,Espanol,Nicole Brown,Collections North,2025-05-26,63,6,96,70,235,0,N,1,In Queue,40,8132887390,True,First Time Call,RCCall
593000000069,GSIA,NRA English,David Chen,Team Gamma,2026-02-25,87,3,1183,28,1301,0,N,1,Callback Scheduled,11,7754785574,True,Repeat Caller,RCCall
593000000070,TRI,SAPA English,Jennifer Lee,Collections South,2025-07-19,200,1,1081,40,1322,0,N,1,Resolved,7,4195547061,True,,RCCall
593000000071,SAPA,SAPA English,Sarah Thompson,RCM Offshore,2026-03-12,88,22,252,4,366,0,N,0,In Queue,39,7024477080,True,First Time Call,RCCall
593000000072,MRB,SAPA English,Maria Santos,Collections North,2026-01-22,124,1,210,91,426,0,N,1,No Answer,56,8173481936,True,Repeat Caller,RCCall
593000000073,PMR,NRA English,Robert Garcia,Team Gamma,2026-01-14,148,3,878,72,1101,0,N,1,In Queue,6,6158690108,True,,RCCall
593000000074,TRI,Espanol,Nicole Brown,Collections North,2026-04-05,193,11,1158,48,1410,0,N,1,Promise to Pay,18,4784922524,True,First Time Call,RCCall
593000000075,GRH,IAI English,Amanda Johnson,Team Beta,2025-06-09,191,9,240,4,444,0,N,1,Wrong Number,37,8179749673,True,,RCCall
593000000076,ESR,SAPA English,Michael Rivera,RCM Offshore,2025-06-15,82,4,150,25,261,0,N,1,In Queue,27,8132616399,True,First Time Call,RCCall
593000000077,TRI,IAI English,Sarah Thompson,Team Alpha,2025-12-06,254,21,609,53,937,0,N,0,Callback Scheduled,3,5612345055,True,,RCCall
593000000078,ESR,NRA English,Sarah Thompson,Team Gamma,2026-02-27,148,10,1191,18,1367,0,N,1,In Queue,4,,False,Escalation,RCCall
593000000079,ACR,Inbound Main,Michael Rivera,RCM Offshore,2025-06-24,28,27,89,30,174,0,N,0,Promise to Pay,37,9048683616,True,Repeat Caller,RCCall
593000000080,ESR,SAPA English,Christopher Martinez,RCM Offshore,2025-05-21,238,15,450,105,808,0,N,1,Disconnected,52,9316264294,True,Escalation,RCCall
593000000081,RASFA,IAI English,David Chen,PXP - Sagility,2025-10-17,96,20,426,90,632,0,N,1,Patient Refused,2,7136909034,True,,RCCall
593000000082,GSIA,Inbound Main,Sarah Thompson,Team Gamma,2025-09-04,165,28,892,64,1149,0,N,0,In Queue,51,5133837610,True,Repeat Caller,RCCall
593000000083,IAI,Outbound Collection,Robert Garcia,Collections North,2025-12-19,79,12,801,70,962,0,N,1,Promise to Pay,25,9314403194,True,,RCCall
593000000084,GSIA,Espanol,Nicole Brown,RCM Offshore,2026-03-31,211,21,1147,101,1480,0,N,0,Payment Collected,27,9125603855,True,Escalation,RCCall
593000000085,ACR,Espanol,Michael Rivera,PXP - Sagility,2025-05-02,285,0,320,81,686,0,N,1,Resolved,53,9546256243,True,,RCCall
593000000086,GSIA,SAPA English,Nicole Brown,Collections North,2025-11-01,113,1,584,13,711,0,N,1,Disconnected,22,9374152429,True,Escalation,RCCall
593000000087,NRAA,NRA English,Amanda Johnson,RCM Offshore,2026-02-25,224,20,905,76,1225,0,N,1,Disconnected,46,5616284870,True,,RCCall
593000000088,NRAA,Espanol,Michael Rivera,Team Alpha,2025-10-14,270,18,961,115,1364,0,N,1,Left Message,53,8177689070,True,Repeat Caller,RCCall
593000000089,GRH,CRC English,Amanda Johnson,PXP - Sagility,2025-07-04,33,7,802,78,920,0,N,1,Payment Collected,18,9549850116,True,First Time Call,RCCall
593000000090,GRH,NRA English,Jennifer Lee,RCM Offshore,2026-02-27,60,24,254,88,426,0,N,0,Payment Collected,3,8659906589,True,First Time Call,RCCall
593000000091,RASFA,Outbound Collection,Sarah Thompson,Team Beta,2026-02-21,236,8,911,42,1197,0,N,1,Answering Machine,42,7135468802,True,First Time Call,RCCall
593000000092,NRAA,Outbound Collection,Amanda Johnson,Team Beta,2025-12-24,119,13,991,90,1213,0,N,1,Left Message,58,4237210556,True,Repeat Caller,RCCall
593000000093,SMED,Outbound Collection,Amanda Johnson,PXP - Sagility,2025-11-17,293,19,1060,97,1469,0,N,1,No Answer,15,8139138534,True,First Time Call,RCCall
593000000094,GSIA,NRA English,Ashley Wilson,PXP - Sagility,2026-01-21,215,10,665,17,907,0,N,1,Patient Refused,28,7756517540,True,Repeat Caller,RCCall
593000000095,MRB,Inbound Main,Maria Santos,Collections South,2026-04-25,151,11,538,2,702,0,N,1,Disconnected,39,9015222977,True,,RCCall
593000000096,ACR,CRC English,Jennifer Lee,Collections North,2025-10-16,52,17,98,111,278,0,N,1,Payment Collected,31,4239214297,True,,RCCall
593000000097,SMED,PMR English,David Chen,Team Beta,2026-04-10,133,4,62,39,238,0,N,1,Callback Scheduled,11,5122725832,True,,RCCall
593000000098,ACR,SAPA English,David Chen,Team Alpha,2026-01-26,240,1,827,69,1137,122,Y,1,Left Message,0,3057463935,True,Escalation,RCCall
593000000099,ACR,Outbound Collection,Maria Santos,Collections North,2025-07-28,128,27,191,114,460,0,N,0,Callback Scheduled,38,8139265755,True,Escalation,RCCall
593000000100,SMED,IAI English,Amanda Johnson,RCM Offshore,2025-08-07,166,29,355,111,661,0,N,0,Patient Refused,45,7759439556,True,Repeat Caller,RCCall
593000000101,TRI,IAI English,Robert Garcia,RCM Offshore,2026-04-30,76,9,889,108,1082,0,N,1,Resolved,3,9122113812,True,First Time Call,RCCall
593000000102,SAPA,CRC English,Brandon Smith,Collections South,2026-04-19,91,17,313,57,478,0,N,1,Patient Refused,39,6153033350,True,,RCCall
593000000103,NRA,Outbound Collection,Robert Garcia,Team Alpha,2026-02-24,205,8,66,83,362,0,N,1,Disconnected,19,4234130677,True,Escalation,RCCall
593000000104,ESR,Outbound Collection,Amanda Johnson,PXP - Sagility,2025-10-22,245,11,460,89,805,0,N,1,Wrong Number,44,9047167746,True,Repeat Caller,RCCall
593000000105,PMR,CRC English,Jennifer Lee,Team Beta,2025-07-04,40,26,388,18,472,0,N,0,Callback Scheduled,57,8136050492,True,First Time Call,RCCall
593000000106,ACRB,Inbound Main,Robert Garcia,Collections South,2025-10-07,176,24,282,52,534,0,N,0,Resolved,47,9012304873,True,First Time Call,RCCall
593000000107,PMR,CRC English,Jerome Viloria,Collections South,2026-03-11,241,22,846,23,1132,0,N,0,Answering Machine,47,4234743470,True,,RCCall
593000000108,NRA,Espanol,Maria Santos,Team Gamma,2025-07-13,287,14,266,90,657,0,N,1,Answering Machine,36,,False,First Time Call,RCCall
593000000109,ACR,CRC English,Michael Rivera,PXP - Sagility,2025-12-19,141,7,445,37,630,0,N,1,Payment Collected,47,,False,Escalation,RCCall
593000000110,ESR,IAI English,Jerome Viloria,Team Alpha,2026-04-10,156,9,767,74,1006,0,N,1,Disconnected,31,2144356727,True,Repeat Caller,RCCall
593000000111,ESR,Inbound Main,Amanda Johnson,Collections North,2026-01-10,234,23,916,13,1186,0,N,0,Promise to Pay,44,,False,,RCCall
593000000112,SAPA,Espanol,Robert Garcia,PXP - Sagility,2025-06-24,117,27,265,33,442,0,N,0,No Answer,58,,False,First Time Call,RCCall
593000000113,SAPA,Inbound Main,Brandon Smith,Collections South,2026-02-22,285,13,251,20,569,0,N,1,Disconnected,22,7704117453,True,,RCCall
593000000114,ESR,IAI English,Robert Garcia,Team Alpha,2025-10-04,289,26,1000,29,1344,0,N,0,Resolved,44,2146200162,True,First Time Call,RCCall
593000000115,PXP,Outbound Collection,Sarah Thompson,Team Alpha,2025-06-10,231,16,679,60,986,0,N,1,Resolved,18,9012504575,True,,RCCall
593000000116,CRC,Espanol,Amanda Johnson,Team Beta,2025-09-23,155,8,1183,98,1444,0,N,1,Disconnected,5,9375407035,True,Escalation,RCCall
593000000117,PMR,PMR English,Christopher Martinez,RCM Offshore,2025-06-22,279,14,376,107,776,0,N,1,Answering Machine,38,9723453571,True,Repeat Caller,RCCall
593000000118,ACR,SAPA English,Jennifer Lee,PXP - Sagility,2025-09-07,233,16,281,5,535,19,Y,1,Resolved,25,6153844376,True,,RCCall
593000000119,SAPA,Inbound Main,Ashley Wilson,Collections North,2025-10-10,115,18,675,14,822,0,N,1,Wrong Number,23,,False,First Time Call,RCCall
593000000120,CRC,SAPA English,Jerome Viloria,Collections South,2025-09-03,61,0,73,16,150,0,N,1,Left Message,24,6148751411,True,,RCCall
593000000121,TRI,CRC English,Brandon Smith,RCM Offshore,2025-05-12,184,0,117,114,415,0,N,1,Answering Machine,22,2143502241,True,Escalation,RCCall
593000000122,GRH,Inbound Main,Michael Rivera,Team Alpha,2025-07-21,25,17,193,58,293,0,N,1,In Queue,22,5123982335,True,First Time Call,RCCall
593000000123,SMED,Espanol,Brandon Smith,Collections South,2026-01-11,21,15,696,68,800,0,N,1,Left Message,13,4043541243,True,,RCCall
593000000124,PXP,Espanol,Ashley Wilson,Collections North,2026-03-13,212,25,918,111,1266,0,N,0,Left Message,17,7702789605,True,,RCCall
593000000125,SAPA,SAPA English,Sarah Thompson,Team Beta,2026-01-26,14,0,549,18,581,9,Y,1,Payment Collected,43,,False,Repeat Caller,RCCall
593000000126,ACR,Inbound Main,Sarah Thompson,Team Gamma,2025-06-03,11,6,441,93,551,0,N,1,Answering Machine,2,4237198781,True,,RCCall
593000000127,SMED,Outbound Collection,Robert Garcia,Collections South,2025-11-12,270,0,450,39,759,0,N,1,In Queue,33,5127809628,True,Repeat Caller,RCCall
593000000128,TRI,CRC English,Nicole Brown,Collections North,2025-09-01,217,9,577,50,853,0,N,1,No Answer,6,6159317112,True,Escalation,RCCall
593000000129,MRB,Inbound Main,Maria Santos,Team Gamma,2025-08-22,145,2,608,87,842,0,N,1,Promise to Pay,58,9019724753,True,First Time Call,RCCall
593000000130,SMED,PMR English,Christopher Martinez,RCM Offshore,2025-07-16,155,9,903,93,1160,0,N,1,Left Message,0,3306591202,True,Repeat Caller,RCCall
593000000131,NRAA,Outbound Collection,Jennifer Lee,PXP - Sagility,2025-06-29,159,27,661,44,891,0,N,0,Answering Machine,36,,False,,RCCall
593000000132,TRI,Inbound Main,Ashley Wilson,RCM Offshore,2026-04-15,133,15,299,68,515,0,N,1,In Queue,41,8655167641,True,Escalation,RCCall
593000000133,ACR,Outbound Collection,Michael Rivera,Team Alpha,2025-05-22,103,2,170,32,307,0,N,1,Payment Collected,7,5136832047,True,Repeat Caller,RCCall
593000000134,PXP,SAPA English,Nicole Brown,RCM Offshore,2025-07-08,116,2,781,117,1016,0,N,1,Resolved,58,,False,Repeat Caller,RCCall
593000000135,PXP,Espanol,Nicole Brown,Team Alpha,2025-05-23,224,5,715,56,1000,0,N,1,Callback Scheduled,0,9722085072,True,Escalation,RCCall
593000000136,TRI,Inbound Main,Sarah Thompson,RCM Offshore,2025-11-21,200,9,1156,67,1432,0,N,1,Payment Collected,27,9129835569,True,Repeat Caller,RCCall
593000000137,ESR,NRA English,Brandon Smith,RCM Offshore,2025-06-17,283,21,210,110,624,0,N,0,Promise to Pay,53,9728254422,True,,RCCall
593000000138,ACRB,Inbound Main,Michael Rivera,Team Gamma,2026-03-19,199,24,912,75,1210,0,N,0,Callback Scheduled,5,5612825371,True,Escalation,RCCall
593000000139,ESR,SAPA English,Jerome Viloria,Collections North,2025-06-26,227,25,968,87,1307,0,N,0,Resolved,8,7024049418,True,First Time Call,RCCall
593000000140,NRAA,Espanol,Amanda Johnson,Collections South,2025-09-29,12,11,135,83,241,0,N,1,Payment Collected,48,9544160712,True,,RCCall
593000000141,NRA,CRC English,Nicole Brown,Collections North,2025-10-14,61,5,837,24,927,0,N,1,In Queue,33,7252202598,True,First Time Call,RCCall
593000000142,GRH,Inbound Main,David Chen,Collections North,2025-09-15,0,2,158,6,166,0,N,1,Callback Scheduled,24,9017124525,True,Repeat Caller,RCCall
593000000143,ACRB,Espanol,Christopher Martinez,Collections South,2025-09-18,26,25,528,51,630,0,N,0,Answering Machine,12,9012360403,True,Repeat Caller,RCCall
593000000144,NRA,Espanol,Michael Rivera,Team Alpha,2026-02-13,83,21,108,57,269,0,N,0,Callback Scheduled,1,8137427492,True,,RCCall
593000000145,GRH,Inbound Main,Nicole Brown,Team Beta,2026-03-08,183,24,142,38,387,179,Y,0,Callback Scheduled,56,9046283527,True,Repeat Caller,RCCall
593000000146,PMR,Inbound Main,Sarah Thompson,Collections North,2025-05-26,33,15,528,4,580,0,N,1,Disconnected,34,6152424532,True,,RCCall
593000000147,GSIA,CRC English,Sarah Thompson,PXP - Sagility,2025-05-24,204,11,776,22,1013,0,N,1,No Answer,52,4079730159,True,Escalation,RCCall
593000000148,NRA,IAI English,Sarah Thompson,Collections South,2025-06-17,135,18,230,104,487,0,N,1,Answering Machine,11,2106158530,True,Repeat Caller,RCCall
593000000149,PXP,IAI English,Jennifer Lee,PXP - Sagility,2025-07-02,180,6,621,21,828,0,N,1,Payment Collected,21,2149897193,True,Escalation,RCCall
593000000150,ACRB,SAPA English,Brandon Smith,Team Beta,2026-03-25,154,29,1169,42,1394,0,N,0,Callback Scheduled,22,5122740623,True,Repeat Caller,RCCall
593000000151,SAPA,CRC English,Michael Rivera,Team Gamma,2025-07-19,99,18,388,34,539,0,N,1,Promise to Pay,28,4073514180,True,First Time Call,RCCall
593000000152,MRB,Inbound Main,Amanda Johnson,RCM Offshore,2025-06-09,132,10,935,83,1160,0,N,1,Wrong Number,15,7029780759,True,Escalation,RCCall
593000000153,ACRB,Espanol,Robert Garcia,PXP - Sagility,2025-07-24,53,9,170,25,257,0,N,1,Answering Machine,59,4079260151,True,,RCCall
593000000154,ACR,SAPA English,Nicole Brown,Collections South,2026-04-07,141,15,165,16,337,0,N,1,Disconnected,57,2147882846,True,Escalation,RCCall
593000000155,GSIA,Outbound Collection,Jerome Viloria,PXP - Sagility,2025-10-09,68,5,577,51,701,0,N,1,Callback Scheduled,48,8173978857,True,,RCCall
593000000156,NRAA,Outbound Collection,Nicole Brown,Collections North,2025-05-20,172,18,1180,111,1481,0,N,1,Promise to Pay,33,2107940596,True,Escalation,RCCall
593000000157,SAPA,PMR English,Ashley Wilson,Team Gamma,2025-06-17,196,21,1009,100,1326,0,N,0,Disconnected,51,4043805034,True,Repeat Caller,RCCall
593000000158,PMR,Inbound Main,Robert Garcia,Collections North,2026-04-16,45,29,626,9,709,0,N,0,Resolved,40,2147858074,True,,RCCall
593000000159,ACR,NRA English,Ashley Wilson,PXP - Sagility,2025-05-23,247,10,151,50,458,0,N,1,No Answer,54,9729850559,True,,RCCall
593000000160,NRA,PMR English,Nicole Brown,Team Alpha,2026-03-16,282,28,933,117,1360,0,N,0,Answering Machine,9,7069316043,True,Repeat Caller,RCCall
593000000161,SMED,NRA English,Michael Rivera,Collections South,2026-02-01,173,18,952,66,1209,0,N,1,Promise to Pay,55,6158142265,True,Repeat Caller,RCCall
593000000162,CRC,IAI English,Ashley Wilson,Team Gamma,2026-03-27,66,5,671,47,789,0,N,1,No Answer,39,6158661916,True,,RCCall
593000000163,PMR,Outbound Collection,David Chen,Team Beta,2025-07-26,274,22,1037,75,1408,0,N,0,No Answer,14,,False,,RCCall
593000000164,RASFA,SAPA English,David Chen,RCM Offshore,2026-03-29,139,9,725,99,972,0,N,1,Callback Scheduled,31,4192418869,True,,RCCall
593000000165,PXP,Inbound Main,Jerome Viloria,Team Gamma,2026-02-20,168,9,262,78,517,0,N,1,Resolved,40,,False,Escalation,RCCall
593000000166,PXP,SAPA English,Jennifer Lee,Team Gamma,2025-09-15,25,13,1183,5,1226,12,Y,1,Answering Machine,15,4786333258,True,Repeat Caller,RCCall
593000000167,NRA,PMR English,Brandon Smith,PXP - Sagility,2025-11-05,44,5,285,57,391,0,N,1,Resolved,22,4049475123,True,Repeat Caller,RCCall
593000000168,NRA,SAPA English,David Chen,RCM Offshore,2025-05-16,265,24,617,97,1003,0,N,0,In Queue,58,,False,Repeat Caller,RCCall
593000000169,SAPA,SAPA English,Christopher Martinez,Collections South,2025-06-25,23,28,1053,51,1155,0,N,0,Resolved,11,,False,,RCCall
593000000170,ACRB,CRC English,David Chen,Team Beta,2026-03-20,74,17,1060,64,1215,64,Y,1,Patient Refused,53,2102884419,True,First Time Call,RCCall
593000000171,NRAA,IAI English,Jerome Viloria,Collections North,2025-11-11,177,11,1060,49,1297,0,N,1,Callback Scheduled,50,7754342733,True,First Time Call,RCCall
593000000172,RASFA,NRA English,Christopher Martinez,PXP - Sagility,2025-06-18,201,18,1029,3,1251,36,Y,1,Promise to Pay,48,9044054920,True,,RCCall
593000000173,ACR,SAPA English,Michael Rivera,Team Alpha,2025-05-15,15,22,231,5,273,13,Y,0,Wrong Number,17,9047153900,True,Escalation,RCCall
593000000174,ACRB,NRA English,Maria Santos,Team Beta,2026-03-19,34,25,908,37,1004,0,N,0,Callback Scheduled,19,2106530951,True,Escalation,RCCall
